['dimi1988', 202572041, 'impression', '8', 241130846L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.132584713214493, False, 'time']
['dimi1988', 202572041, 'impression', '4', 241214648L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.120489666817998, False, 'time']
['dimi1988', 202572041, 'impression', '17', 241090384L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.0491877691373954, False, 'time']
['dimi1988', 202572041, 'impression', '2', 241348436L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.241338480492309, False, 'time']
['dimi1988', 202572041, 'impression', '18', 241089573L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.199271809781924, False, 'time']
['dimi1988', 202572041, 'impression', '11', 241115539L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.296399652905169, False, 'time']
['dimi1988', 202572041, 'impression', '3', 241339264L, datetime.datetime(2013, 5, 28, 6, 54, 26), 0.477997030234836, False, 'time']

['dimi1988', 202572041, 'impression', '18', 241089573L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.199271809781924, False, 'time']
['dimi1988', 202572041, 'impression', '2', 241348436L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.241338480492309, False, 'time']
['dimi1988', 202572041, 'impression', '3', 241339264L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.477997030234836, False, 'time']
['dimi1988', 202572041, 'impression', '17', 241090384L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.0491877691373954, False, 'time']
['dimi1988', 202572041, 'impression', '11', 241115539L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.296399652905169, False, 'time']
['dimi1988', 202572041, 'impression', '16', 241092986L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.0626523889650098, False, 'time']
['dimi1988', 202572041, 'impression', '12', 241113916L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.264998479187595, False, 'time']
['dimi1988', 202572041, 'impression', '9', 241116482L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.118117147392723, False, 'time']
['dimi1988', 202572041, 'impression', '14', 241094864L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.0659756355695068, False, 'time']
['dimi1988', 202572041, 'impression', '15', 241094465L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.413548234695504, False, 'time']
['dimi1988', 202572041, 'impression', '6', 241143914L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.320924606639979, False, 'time']
['dimi1988', 202572041, 'impression', '10', 241116465L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.408976704602284, False, 'time']
['dimi1988', 202572041, 'impression', '5', 241204385L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.120330157375678, False, 'time']
['dimi1988', 202572041, 'impression', '4', 241214648L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.120489666817998, False, 'time']
['dimi1988', 202572041, 'impression', '1', 241435106L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.101395904373027, False, 'time']
['dimi1988', 202572041, 'impression', '13', 241103289L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.113150552910396, False, 'time']
['dimi1988', 202572041, 'impression', '19', 241089383L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.130264614869748, False, 'time']
['dimi1988', 202572041, 'impression', '7', 241136819L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.186795471592795, False, 'time']
['dimi1988', 202572041, 'impression', '8', 241130846L, datetime.datetime(2013, 5, 28, 9, 16, 58), 0.132584713214493, False, 'time']

