['briantubbs', 202576063, 'impression', '1', 241206498L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'impression', '6', 241330774L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0853052324899987, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241296001L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.145356276023277, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241220524L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.147135487852646, True, 'best']
['briantubbs', 202576063, 'impression', '15', 241285571L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.039582033366353, False, 'best']
['briantubbs', 202576063, 'impression', '14', 241172192L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '5', 241220500L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.103777780075481, False, 'best']
['briantubbs', 202576063, 'impression', '12', 241194260L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0608137330191867, False, 'best']
['briantubbs', 202576063, 'impression', '13', 241166934L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241188124L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'impression', '17', 241165488L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '7', 241179937L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0832510496642655, False, 'best']
['briantubbs', 202576063, 'impression', '9', 241346092L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.078510176468373, False, 'best']
['briantubbs', 202576063, 'impression', '11', 241485263L, datetime.datetime(2013, 5, 29, 6, 15, 26), 0.0665857408377732, False, 'best']
['briantubbs', 202576063, 'view_full_application_via_name', '8', 241202056L, datetime.datetime(2013, 5, 29, 6, 15, 33), 0.0794274142242721, False, 'best']
['briantubbs', 202576063, 'impression', '9', 241346092L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.078510176468373, False, 'best']
['briantubbs', 202576063, 'impression', '18', 241170506L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.015900979709849, False, 'best']
['briantubbs', 202576063, 'impression', '8', 241202056L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0794274142242721, False, 'best']
['briantubbs', 202576063, 'impression', '10', 241443853L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0771467027029783, False, 'best']
['briantubbs', 202576063, 'impression', '16', 241500661L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0279503949102347, False, 'best']
['briantubbs', 202576063, 'impression', '12', 241194260L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0608137330191867, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241188124L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'impression', '17', 241165488L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '13', 241166934L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '7', 241179937L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0832510496642655, False, 'best']
['briantubbs', 202576063, 'impression', '6', 241330774L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0853052324899987, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241206498L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241296001L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.145356276023277, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241220524L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.147135487852646, True, 'best']
['briantubbs', 202576063, 'impression', '14', 241172192L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '5', 241220500L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.103777780075481, False, 'best']
['briantubbs', 202576063, 'impression', '15', 241285571L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.039582033366353, False, 'best']
['briantubbs', 202576063, 'impression', '11', 241485263L, datetime.datetime(2013, 5, 29, 6, 16, 2), 0.0665857408377732, False, 'best']
['briantubbs', 202576063, 'view_full_application_via_name', '3', 241220524L, datetime.datetime(2013, 5, 29, 6, 16, 12), 0.147135487852646, True, 'best']

