['gerda-muller', 202572079, 'impression', '8', 241089658L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.18446666974675, False, 'time']
['gerda-muller', 202572079, 'impression', '6', 241090566L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0360686179476515, False, 'time']
['gerda-muller', 202572079, 'impression', '7', 241090561L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0759362161509553, False, 'time']
['gerda-muller', 202572079, 'impression', '11', 241088814L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0490383206570077, False, 'time']
['gerda-muller', 202572079, 'impression', '9', 241089256L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.160592297482508, False, 'time']
['gerda-muller', 202572079, 'impression', '12', 241088797L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0578441310856452, False, 'time']
['gerda-muller', 202572079, 'impression', '13', 241088781L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0705262179495269, False, 'time']
['gerda-muller', 202572079, 'impression', '20', 241087267L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.162382419564534, False, 'time']
['gerda-muller', 202572079, 'impression', '3', 241093896L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0363697107588943, False, 'time']
['gerda-muller', 202572079, 'impression', '1', 241094980L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0306823763055883, False, 'time']
['gerda-muller', 202572079, 'impression', '2', 241094068L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0185368245834748, False, 'time']
['gerda-muller', 202572079, 'impression', '10', 241088994L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.052557998680576, False, 'time']
['gerda-muller', 202572079, 'impression', '16', 241088364L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.203981567770176, False, 'time']
['gerda-muller', 202572079, 'impression', '15', 241088589L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0597009240833708, False, 'time']
['gerda-muller', 202572079, 'impression', '14', 241088645L, datetime.datetime(2013, 5, 23, 10, 40, 33), 0.0529100375582792, False, 'time']
